tweet_id,tweet_time,tweet_text,location,retweets,vaccine
1.43893E+18,17/09/2021 18:20,@LeeGree16102866 @Brightfuture386 @ZachBrining @ChristinaPushaw @LisaMarieBoothe @PressSec @POTUS So covid is as risky for kids as polio now?  Have you ever researched the rollout of the polio vaccine?What do you mean braver than me?  I’ve had the J&amp;J shot.  I’m not anti-vax.  What I don’t understand are people like you are are anti-therapeutic.  Makes zero sense.,Texas,0,J&J
1.43893E+18,17/09/2021 18:16,"@cnnbrk COVID-19 vaccine effectiveness against COVID-19-associated hospitalization among adults without immunocompromising conditions (21 hospitals in 18 states, March-Aug. 2021)&gt;120 days after full vaxModerna: 92% (87-96)Pfizer: 77% (67-84)&gt;28 days after full vaxJ&amp;J: 68% (49-80) https://t.co/kQWlZitYJm",Florida,1,J&J
1.43893E+18,17/09/2021 18:09,"Moderna's vaccine is the most effective, but Pfizer and J&amp;J also protect well, CDC-led study sayshttps://t.co/1kZ7u6zqsg",New York,0,J&J
1.43881E+18,17/09/2021 10:36,"@Mark_UK73 @JT375043170 @junebug221 @DarrellBuckne13 @TheNewRevolut12 @GoodMenzo @MarvinRJeffcoat @GTeresa9 @pauloesco @Quin4Trump @StillGood_Jared @Freedom122053 @Mwforhr @kithercbaby @jeffblewis @CalvinE43701301 @Comploscope @sierranolandely @PaulGregory2173 @biggob5 @TJ2020landslide @Gidgett378 @Terry10661013 @ICanPlainlySee @RKitenplon @cozmocowboy @robert2112o @NevaAyer @DorisMele @RalphS24381648 @Unpurgeable18 @kcinor @john_monka @genellog @Rick24189161 @KathyKbrose @Patriot66874185 @useless_b @j_nanma @pewtergod @TP_UKMingeLane @jasonpaisley @AntifaRioter @Nanmac791 @BullseyeBanjo @VighneshwarAna3 @Gloriaoldsurfer @RedHoss44 @ISafeyet @StillFreeSCOTTY Are you a “spokesperson “ for Pharma, and paid the big bucks to be their Cheerleader?This is NOT a vaccine!  Lots of questions, when getting the Virus affects a person less, than the Vaccine that causes Death,  ruins their lives!I Know what I’ve read, seen, and it’s not SAFE!",Texas,0,J&J
1.43879E+18,17/09/2021 09:06,"In our trenchant critique of Johnson &amp; Johnson, we argue that @JNJNews adopts an understanding of the “human” in human rights that privileges Europeans over Africans and Indians. J&amp;J is deliberately engineering vaccine apartheid, laying the ground for new coronavirus variants. https://t.co/kmTubqDksA",New York,5,J&J
1.43874E+18,17/09/2021 05:35,@mtgreenee MARGE!!!! HELP!!! I had the J&amp;J one shot vaccine... Now I crave Mexican food and I feel the urge to help fellow human beings!!!!,Wisconsin,0,J&J
1.43873E+18,17/09/2021 04:43,@DrLeanaWen Wish they would bring more information on the J&amp;J vaccine. I so regret getting that vaccine now as we seem to be left hanging.,Oregon,0,J&J
1.4387E+18,17/09/2021 02:56,@diiaammoondd In addition J&amp;J’s vaccine was never fda approved so yeah might have to do with the fucking blood clots.,Texas,0,J&J
1.43869E+18,17/09/2021 02:39,"""His administration has the moral, legal, and if necessary, financial power to lift intellectual property barriers and persuade J&amp;J to license its vaccine.""https://t.co/DByVWVWouU via @commondreams",Minnesota,0,J&J
1.43867E+18,17/09/2021 01:20,"@joncoopertweets ✋They are still both there. After J&amp;J vaccine, I was ready for some Bourbon. 2 shots, please.",California,0,J&J
1.43867E+18,17/09/2021 01:07,"everyone gets the mRNA vaccine. Even those who chose a viral vector vaccine are now being told that's not enough, and are told not to get another j&amp;j or AstraZeneca, but that they should still get a jab of 2 of Pfizer mRNA based. What is it about the mRNA vaccine that is causing",California,0,J&J
1.43862E+18,16/09/2021 21:54,"@Dez_Walker @BroSchembechler @MaizedConfused But to close this up. I don’t care what people do/don’t do. Do whatever you need to feel safe and protected. However, forcing a vaccine on someone, or forcing mask mandates (when they don’t prevent spread - the numbers tell us that) isn’t something I will get behind.",Virginia,0,J&J
1.43862E+18,16/09/2021 21:49,"@Dez_Walker @BroSchembechler @MaizedConfused And after the #science told us that those with or without the vaccine are spreading the virus at the same rate, they lost all steam in getting people who are vaccinated to get vaccinated. It doesn’t prevent spread or infection- and statistically, people will be fine",Virginia,0,J&J
